Major League Baseball Team Stadium||||
||||
Stadium Name|Address|City|State|Team Name
Oriole Park at Camden Yards|333 West Camden Street|Baltimore |Maryland|Baltimore Orioles
Fenway Park|4 Yawkey Way|Boston|Massachusetts|Boston Red Sox
U.S. Cellular Field|333 West 35th Street|Chicago|Illinois|Chicago White Sox
Progressive Field|2401 Ontario Street|Cleveland|Ohio|Cleveland Indians
Comerica Park|2100 Woodward Avenue|Detroit|Michigan|Detroit Tigers
Kauffman Stadium|One Royal Way|Kansas City|Missouri|Kansas City Royals
Angel Stadium of Anaheim|2000 Gene Autry Way|Anaheim|California|Los Angeles Angels
Target Field|1 Twins Way (3rd Ave. N, between 5th St. N and 7th St. N)|Minneapolis|Minnesota|Minnesota Twins
Yankee Stadium|East 161st Street & River Avenue|Bronx|New York|New York Yankees
Oakland-Alameda County Coliseum|7000 Coliseum Way|Oakland |California|Oakland Athletics
Safeco Field|1516 First Avenue S|Seattle|Washington|Seattle Mariners
Tropicana Field|One Tropicana Drive|St. Petersburg|Florida|Tampa Bay Rays
Rangers Ballpark in Arlington|1000 Ballpark Way|Arlington|Texas|Texas Rangers
Rogers Centre|One Blue Jays Way|Toronto|Ontario|Toronto Blue Jays
Chase Field|401 East Jefferson Street|Phoenix|Arizona|Arizona Diamondbacks
Turner Field|755 Hank Aaron Drive|Atlanta|Georgia|Atlanta Braves
Wrigley Field|1060 West Addison Street|Chicago|Illinois|Chicago Cubs
Great American Ballpark|100 Joe Nuxhall Way|Cincinnati|Ohio|Cincinnati Reds
Coors Field|2001 Blake Street|Denver|Colorado|Colorado Rockies
Sun Life Stadium|2267 NW 199th Street|Miami Gardens|Florida|Florida Marlins
Minute Maid Park|501 Crawford Street|Houston|Texas|Houston Astros
Dodger Stadium|1000 Elysian Park Ave|Los Angeles|California|Los Angeles Dodgers
Miller Park|One Brewers Way|Milwaukee|Wisconsin|Milwaukee Brewers
Citi Field|126th St. & Roosevelt Ave.|Flushing|New York|New York Mets
Citizens Bank Park|One Citizens Bank Way|Philadelphia|Pennsylvania|Philadelphia Phillies
PNC Park|115 Federal Street|Pittsburgh|Pennsylvania|Pittsburgh Pirates
Petco Park|19 Tony Gwynn Drive|San Diego|California|San Diego Padres
AT&T Park|24 Willie Mays Plaza|San Francisco|California|San Francisco Giants
Busch Stadium|700 Clark Street|St. Louis|Missouri|St. Louis Cardinals
Nationals Park|1500 South Capitol Street SE|Washington|D.C.|Washington Nationals
