TD Banknorth Garden|100 Legends Way|Boston|Massachusetts|Boston Celtics
Izod Center|50 State RT 120|East Rutherford|New Jersey|New Jersey Nets
Madison Square Garden|7th Avenue & 32nd Street, Manhattan|New York |New York|New York Knicks
Wachovia Centre|3601 S Broad Street|Philadelphia|Pennsylvania|Philadelphia 76ers
Air Canada Centre|40 Bay Street|Toronto|Canada|Toronto Raptors
United Center|1901 W. Madison Street|Chicago|Illinois|Chicago Bulls
Quicken Loans Arena|1 Center Court|Cleveland|Ohio|Cleveland Cavaliers
The Palace of Auburn Hills|5 Championship Drive|Auburn Hills|Michigan|Detroit Pistons
Conseco Fieldhouse|125 S. Pennsylvania Street|Indianapolis|Indiana|Indiana Pacers
Bradley Center|1001 N Fourth Street|Milwaukee|Wisconsin|Milwaukee Bucks
Philips Arena|1 Philips Drive NW|Atlanta|Georgia|Atlanta Hawks
Time Warner Cable Arena|333 East Trade Street|Charlotte|North Carolina|Charlotte Bobcats
American Airlines Arena|601 Biscayne Boulevard|Miami|Florida|Miami Heat
Amway Arena|600 West Amelia Street|Orlando|Florida|Orlando Magic
Verizon Cente|601 F Street|NW Washington|District of Columbia|Washington Wizards
Oracle Arena|7000 Coliseum Way|Oakland|California|Golden State Warriors
Staples Center|1111 S. Figueroa Street|Los Angeles|California|Los Angeles Clippers
Staples Center|1111 S. Figueroa Street|Los Angeles|California|Los Angeles Lakers
US Airways Center|201 East Jefferson|Phoenix|Arizona|Phoenix Suns
ARCO Arena|One Sports Parkway|Sacramento|California|Sacramento Kings
American Airlines Center|2500 Victory Avenue|Dallas|Texas|Dallas Mavericks
Toyota Center|1510 Polk Street|Houston|Texas|Houston Rockets
FedExForum|191 Beale Street|Memphis|Tennessee|Memphis Grizzlies
New Orleans Arena|1601 Girod Street|New Orleans|Louisiana|New Orleans Hornets
AT&T Center|1 AT&T Center Parkway|San Antonio|Texas|San Antonio Spurs
Pepsi Center|1000 Chopper Circle|Denver|Colorado|Denver Nuggets
Target Center|600 First Avenue North|Minneapolis|Minnesota|Minnesota Timberwolves
Ford Center|100 W Reno Avenue|Oklahoma City|Oklahoma|Oklahoma City Thunder
Rose Garden|1 Center Court|Portland |Oregon|Portland Trail Blazers
EnergySolutions Arena|301 W South Temple|Salt Lake City|Utah|Utah Jazz
