Stadium Name|Address|City|State|Team Name
Alumni Stadium|140 Commonwealth Ave|Chestnut Hill|Massachusetts|Boston College Eagles
Clemson Memorial Stadium|Centennial Boulevard|Clemson|South Carolina|Clemson Tigers
Wallace Wade Stadium|104 Bryan University Center|Durham|North Carolina|Duke Blue Devils
Doak Campbell Stadium|Pensacola St & Stadium Dr|Tallahassee|Florida|Florida State Seminoles
Bobby Dodd Stadium|155 North Ave.|N.W.Atlanta|Georgia|Georgia Tech Yellow Jackets
Byrd Stadium|University of Maryland|College Park|Maryland|Maryland Terrapins
Sun Life Stadium||Miami|Florida|Miami (FL) Hurricanes
Carter Finley Stadium|5184 Trinity Rd|Raleigh|North Carolina|North Carolina State Wolfpack
Kenan Stadium|104 Stadium Drive|Chapel Hill|North Carolina|North Carolina Tar Heels
Scott Stadium|1815 Stadium Road|Charlottesville|Virginia|Virginia Cavaliers
Lane Stadium|359 Jamerson Athletic Center|Blacksburg|Virginia|Virginia Tech Hokies
Groves Stadium|411 Deacon Blvd|Winston-Salem|North Carolina|Wake Forest Demon Deacons
Floyd Casey Stadium|150 Bear Run|Waco|Texas|Baylor Bears
Folsom Field|Colorado Ave|Boulder|Colorado|Colorado Buffaloes
Jack Trice Stadium|South Fourth St|Ames|Iowa|Iowa State Cyclones
Memorial Stadium|11th St. & Maine St.|Lawrence|Kansas|Kansas Jayhawks
Bill Snyder Family Stadium|1800 College Avenue|Manhattan|Kansas|Kansas State Wildcats
Faurot Field|600 Stadium Boulevard|Columbia|Missouri|Missouri Tigers
Memorial Stadium|10th St. & Stadium Dr.|Lincoln|Nebraska|Nebraska Cornhuskers
Gaylord Family Oklahoma Memorial Stadium at Owen Field|180 W Brooks|Norman|Oklahoma|Oklahoma Sooners
Boone Pickens Stadium|Hall of Fame Ave at Hester St|Stillwater|Oklahoma|Oklahoma State Cowboys
Kyle Field|Texas A&M University|College Station|Texas|Texas A&M Aggies
DKR Memorial Stadium|2100 San Jacinto Blvd.|Austin |Texas|Texas Longhorns
Jones AT&T Stadium|Drive of Champions|Lubbock|Texas|Texas Tech Red Raiders
Nippert Stadium|University of Ohio|Cincinnati|Ohio|Cincinnati Bearcats
Rentschler Field|615 Silver Lane|Hartford|Connecticut|Connecticut Huskies
