Stadium Name|Address|City|State|Team Name
Univ. of Phoenix Stadium|1 Cardinals Drive|Glendale|Arizona|Arizona Cardinals
Georgia Dome|Northwest|Atlanta|Georgia|Atlanta Falcons
M&T Bank Stadium|1101 Russell Street|Baltimore|Maryland|Baltimore Ravens
Ralph Wilson Stadium|1 Bills Drive|Orchard Park|New York|Buffalo Bills
Bank of America Stadium|800 South Mint Street|Charlotte|North Carolina|Carolina Panthers
Soldier Field|1410 S. Museum Campus Drive|Chicago|Illinois|Chicago Bears
Paul Brown Stadium|One Paul Brown Stadium|Cincinnati|Ohio|Cincinnati Bengals
Cleveland Browns Stadium|100 Alfred Lerner Way|Cleveland |Ohio|Cleveland Browns
Dallas Cowboys New Stadium|1 Legends Way|Arlington|Texas|Dallas Cowboys
Invesco Field at Mile High|1701 Bryant Street, Suite 700|Denver|Colorado|Denver Broncos
Ford Field|2000 Brush Street|Detroit|Michigan|Detroit Lions
Lambeau Field|1265 Lombardi Ave|Green Bay|Wisconsin|Green Bay Packers
Reliant Stadium|One Reliant Park|Houston|Texas|Houston Texans
Lucas Oil Stadium|500 South Capitol Avenue|Indianapolis|Indiana|Indianapolis Colts
Jacksonville Municipal Stadium|1 Alltel Stadium Place|Jacksonville|Florida|Jacksonville Jaguars
Arrowhead Stadium|1 Arrowhead Drive|Kansas City|Missouri|Kansas City Chiefs
Sun Life Stadium|2269 Dan Marino Boulevard|Miami Gardens|Florida|Miami Dolphins
Mall of America Field|S 11th Avenue|Minneapolis|Minnesota|Minnesota Vikings
Gillete Stadium|1 Patriot Place|Foxborough|Massachusetts|New England Patriots
Louisiana Superdome|Sugar Bowl Drive|New Orleans|Louisiana|New Orleans Saints
New Meadowlands Stadium|102 State Route 120|East Rutherford|New Jersey|New York Giants
New Meadowlands Stadium|102 State Route 120|East Rutherford|New Jersey|New York Jets
Oakland-Alameda Coliseum|7000 Coliseum Way, # 1|Oakland |California|Oakland Raiders
Lincoln Financial Field|1020 Pattison Ave|Philadelphia|Pennsylvania|Philadelphia Eagles
Heinz Field|100 Art Rooney Avenue|Pittsburgh|Pennsylvania|Pittsburgh Steelers
Qualcomm Stadium|9449 Friars Road|San Diego|California|San Diego Chargers
Candlestick Park|650 Gilman Avenue|San Francisco|California|San Francisco 49ers
Qwest Field|800 Occidental Avenue South, #100|Seattle|Washington|Seattle Seahawks
Edward Jones Dome|701 Convention Plaza|St. Louise|Missouri|St. Louis Rams
Raymond James Stadium|4201 North Dale Mabry Highway|Tampa|Florida|Tampa Bay Buccaneers
LP Field|1 Titans Way|Nashville|Tennessee|Tennessee Titans
FedEx Field|1600 Ralijon Rd|Landover|Maryland|Washington Redskins
